,SHIPMENT_NUMBER,Record Timestamp,Delay (minutes)
381,SEZHUK-231105-259740,2023-11-11 13:40:00,237.96233333333333
382,SEZHUK-231105-259743,2023-11-09 15:44:00,4941.338333333333
383,SEZHUK-231105-259750,2023-11-10 03:54:00,19.80133333333333
384,SEZHUK-231105-259755,2023-11-11 13:29:00,1660.013333333333
385,SEZHUK-231106-259823,2023-11-08 07:46:00,946.1179999833332
386,SEZHUK-231106-259829,2023-11-07 15:18:00,127.321
387,SEZHUK-231106-259868,2023-11-08 10:49:00,2.389
388,SEZHUK-231106-259885,2023-11-08 16:02:00,40.46999998333333
389,SEZHUK-231106-259905,2023-11-10 11:16:00,22.656
390,SEZHUK-231106-259926,2023-11-14 08:40:00,5421.647
391,SEZHUK-231106-259932,2023-11-14 09:22:00,5463.432
392,SEZHUK-231106-260014,2023-11-09 11:20:00,3135.835
393,SEZHUK-231106-260056,2023-11-08 07:44:00,32.193
394,SEZHUK-231106-260061,2023-11-08 07:10:00,0.476
395,SEZHUK-231106-260103,2023-11-10 16:41:00,1.35
396,SEZHUK-231106-260110,2023-11-09 12:42:00,229.629
397,SEZHUK-231106-260134,2023-11-08 09:26:00,32.159
398,SEZHUK-231106-260193,2023-11-07 18:09:00,69.17299998333333
399,SEZHUK-231106-260195,2023-11-13 17:06:00,8743.182
400,SEZHUK-231107-260221,2023-11-09 12:45:00,1903.261
401,SEZHUK-231107-260240,2023-11-08 15:31:00,31.47599998333333
402,SEZHUK-231107-260254,2023-11-09 10:47:00,87.788
403,SEZHUK-231107-260294,2023-11-16 18:09:00,39.022000000000006
404,SEZHUK-231107-260311,2023-11-14 17:31:00,1.216
405,SEZHUK-231107-260312,2023-11-10 15:05:00,425.916
406,SEZHUK-231107-260345,2023-11-10 16:35:00,17.214
